Pin#, PORT IO, Function, Direction
54,GP09,GT_PWM05,
4,GP11,GT_PWM07,
3,GP10,GT_PWM06,
48,GP03,ADC_CH1,
49,GP04,ADC_CH2,
50,GP05,ADC_CH3,
44,GP00,GPIO00,Output
8,GP17,GSPI_CS,
5,GP14,GSPI_CLK,
6,GP15,GSPI_MISO,
7,GP16,GSPI_MOSI,
46,GP01,UART0_TX,
47,GP02,UART0_RX,
